xintercept	key	showSelected1
1.5	0 1.5	0
3.5	0 3.5	0
4.5	0 4.5	0
7.5	0 7.5	0
8.5	0 8.5	0
9.5	0 9.5	0
10.5	0 10.5	0
13.5	0 13.5	0
15.5	0 15.5	0
18.5	0 18.5	0
19.5	0 19.5	0
20.5	0 20.5	0
23.5	0 23.5	0
24.5	0 24.5	0
26.5	0 26.5	0
28.5	0 28.5	0
29.5	0 29.5	0
30.5	0 30.5	0
34.5	0 34.5	0
35.5	0 35.5	0
37.5	0 37.5	0
38.5	0 38.5	0
39.5	0 39.5	0
40.5	0 40.5	0
41.5	0 41.5	0
42.5	0 42.5	0
43.5	0 43.5	0
44.5	0 44.5	0
45.5	0 45.5	0
46.5	0 46.5	0
47.5	0 47.5	0
48.5	0 48.5	0
50.5	0 50.5	0
51.5	0 51.5	0
52.5	0 52.5	0
53.5	0 53.5	0
55.5	0 55.5	0
57.5	0 57.5	0
59.5	0 59.5	0
1.5	0.2 1.5	0.2
3.5	0.2 3.5	0.2
4.5	0.2 4.5	0.2
7.5	0.2 7.5	0.2
8.5	0.2 8.5	0.2
9.5	0.2 9.5	0.2
10.5	0.2 10.5	0.2
13.5	0.2 13.5	0.2
15.5	0.2 15.5	0.2
18.5	0.2 18.5	0.2
19.5	0.2 19.5	0.2
20.5	0.2 20.5	0.2
23.5	0.2 23.5	0.2
24.5	0.2 24.5	0.2
26.5	0.2 26.5	0.2
28.5	0.2 28.5	0.2
29.5	0.2 29.5	0.2
30.5	0.2 30.5	0.2
34.5	0.2 34.5	0.2
35.5	0.2 35.5	0.2
37.5	0.2 37.5	0.2
38.5	0.2 38.5	0.2
39.5	0.2 39.5	0.2
40.5	0.2 40.5	0.2
41.5	0.2 41.5	0.2
42.5	0.2 42.5	0.2
43.5	0.2 43.5	0.2
44.5	0.2 44.5	0.2
45.5	0.2 45.5	0.2
46.5	0.2 46.5	0.2
47.5	0.2 47.5	0.2
48.5	0.2 48.5	0.2
50.5	0.2 50.5	0.2
51.5	0.2 51.5	0.2
52.5	0.2 52.5	0.2
53.5	0.2 53.5	0.2
55.5	0.2 55.5	0.2
57.5	0.2 57.5	0.2
59.5	0.2 59.5	0.2
4.5	0.4 4.5	0.4
7.5	0.4 7.5	0.4
8.5	0.4 8.5	0.4
9.5	0.4 9.5	0.4
10.5	0.4 10.5	0.4
13.5	0.4 13.5	0.4
15.5	0.4 15.5	0.4
18.5	0.4 18.5	0.4
20.5	0.4 20.5	0.4
26.5	0.4 26.5	0.4
28.5	0.4 28.5	0.4
30.5	0.4 30.5	0.4
38.5	0.4 38.5	0.4
39.5	0.4 39.5	0.4
40.5	0.4 40.5	0.4
42.5	0.4 42.5	0.4
43.5	0.4 43.5	0.4
44.5	0.4 44.5	0.4
45.5	0.4 45.5	0.4
46.5	0.4 46.5	0.4
47.5	0.4 47.5	0.4
48.5	0.4 48.5	0.4
50.5	0.4 50.5	0.4
51.5	0.4 51.5	0.4
53.5	0.4 53.5	0.4
55.5	0.4 55.5	0.4
57.5	0.4 57.5	0.4
59.5	0.4 59.5	0.4
7.5	0.6 7.5	0.6
8.5	0.6 8.5	0.6
9.5	0.6 9.5	0.6
10.5	0.6 10.5	0.6
18.5	0.6 18.5	0.6
20.5	0.6 20.5	0.6
26.5	0.6 26.5	0.6
28.5	0.6 28.5	0.6
30.5	0.6 30.5	0.6
38.5	0.6 38.5	0.6
39.5	0.6 39.5	0.6
40.5	0.6 40.5	0.6
42.5	0.6 42.5	0.6
43.5	0.6 43.5	0.6
45.5	0.6 45.5	0.6
46.5	0.6 46.5	0.6
53.5	0.6 53.5	0.6
57.5	0.6 57.5	0.6
59.5	0.6 59.5	0.6
18.5	0.8 18.5	0.8
26.5	0.8 26.5	0.8
40.5	0.8 40.5	0.8
45.5	0.8 45.5	0.8
46.5	0.8 46.5	0.8
53.5	0.8 53.5	0.8
57.5	0.8 57.5	0.8
59.5	0.8 59.5	0.8
18.5	1 18.5	1
26.5	1 26.5	1
40.5	1 40.5	1
45.5	1 45.5	1
46.5	1 46.5	1
53.5	1 53.5	1
57.5	1 57.5	1
18.5	1.2 18.5	1.2
26.5	1.2 26.5	1.2
40.5	1.2 40.5	1.2
20.5	1.4 20.5	1.4
40.5	1.4 40.5	1.4
20.5	1.6 20.5	1.6
40.5	1.6 40.5	1.6
20.5	1.8 20.5	1.8
40.5	1.8 40.5	1.8
20.5	2 20.5	2
40.5	2 40.5	2
20.5	2.2 20.5	2.2
40.5	2.2 40.5	2.2
20.5	2.4 20.5	2.4
40.5	2.4 40.5	2.4
