x	xend	y	yend	key	showSelected1
0.5	1.5	8.07613316816024	8.07613316816024	0 0.5	0
1.5	3.5	9.96626249336278	9.96626249336278	0 1.5	0
3.5	4.5	7.69573622816973	7.69573622816973	0 3.5	0
4.5	7.5	10.2075496683335	10.2075496683335	0 4.5	0
7.5	8.5	12.2332204254305	12.2332204254305	0 7.5	0
8.5	9.5	7.56228516884403	7.56228516884403	0 8.5	0
9.5	10.5	12.5347374441798	12.5347374441798	0 9.5	0
10.5	13.5	8.27176089533077	8.27176089533077	0 10.5	0
13.5	15.5	10.4046980763018	10.4046980763018	0 13.5	0
15.5	18.5	8.72738895197666	8.72738895197666	0 15.5	0
18.5	19.5	12.4486272485612	12.4486272485612	0 18.5	0
19.5	20.5	10.3996232159659	10.3996232159659	0 19.5	0
20.5	23.5	13.8503249100003	13.8503249100003	0 20.5	0
23.5	24.5	11.6670503199397	11.6670503199397	0 23.5	0
24.5	26.5	13.7744722301274	13.7744722301274	0 24.5	0
26.5	28.5	17.1726829041756	17.1726829041756	0 26.5	0
28.5	29.5	14.8558430518269	14.8558430518269	0 28.5	0
29.5	30.5	12.7264354038014	12.7264354038014	0 29.5	0
30.5	34.5	16.608306247959	16.608306247959	0 30.5	0
34.5	35.5	14.2957407661086	14.2957407661086	0 34.5	0
35.5	37.5	17.0058735022176	17.0058735022176	0 35.5	0
37.5	38.5	15.0765040282885	15.0765040282885	0 37.5	0
38.5	39.5	13.0414324600075	13.0414324600075	0 38.5	0
39.5	40.5	16.587522461745	16.587522461745	0 39.5	0
40.5	41.5	9.57301374401891	9.57301374401891	0 40.5	0
41.5	42.5	7.37907373808139	7.37907373808139	0 41.5	0
42.5	43.5	11.3977696911182	11.3977696911182	0 42.5	0
43.5	44.5	6.41081258290137	6.41081258290137	0 43.5	0
44.5	45.5	8.69687543236012	8.69687543236012	0 44.5	0
45.5	46.5	3.46919785296439	3.46919785296439	0 45.5	0
46.5	47.5	7.67558944194354	7.67558944194354	0 46.5	0
47.5	48.5	10.2617299829178	10.2617299829178	0 47.5	0
