y	x	label	group
39.5	0	39	-1
39.5	0.2	39	-1
28.5	0.4	28	-1
19.5	0.6	19	-1
8.5	0.8	8	-1
7.5	1	7	-1
3.5	1.2	3	-1
2.5	1.4	2	-1
2.5	1.6	2	-1
2.5	1.8	2	-1
2.5	2	2	-1
2.5	2.2	2	-1
2.5	2.4	2	-1
0.5	2.6	0	-1
0.5	2.8	0	-1
0.5	3	0	-1
